LoanID,CustomerID,Loan_Amount,Loan_Term_Months,Interest_Rate,EMI,Loan_Purpose,Application_Channel,Age,Gender,Marital_Status,Number_of_Dependents,Education_Level,Employment_Status,Job_Type,Years_Employed,Income_Type,Annual_Income,Monthly_Income,Income_Stability_Score,Credit_Score,Credit_Utilization_Ratio,Number_of_Previous_Loans,Previous_Defaults,Delinquencies,Number_of_Active_Loans,Avg_Days_Past_Due,EMI_to_Income_Ratio,Loan_to_Income_Ratio,Debt_to_Income_Ratio,High_Risk_Flag,Low_Income_Flag,High_Loan_Flag,Default_Status,avg_monthly_spending,spending_to_income_ratio,balance_volatility,rent_payment_ratio,behavioral_risk_score,loan_bin,dti_bin,behavior_bin,customer_segment
1,116520,198623.96,36,6.33,6072.27,Business,Agent,41,Female,Divorced,0,Bachelors,Employed,Healthcare,10,Salary,964003.18,81082.47,77,799,0.1,2,0,0,0,0,0.075,0.206,0.08,0,0,0,0,3269.0191666666665,0.0403167151907369,558023.8006771066,0.0,0.7306967582630739,Low,"(0.013999999999999999, 0.152]",High,Low Risk
2,143688,426373.3,60,12.01,9486.59,Education,Online,43,Male,Married,0,Bachelors,Employed,Finance,0,Salary,437434.16,35395.01,53,637,0.28,1,1,2,2,72,0.268,0.975,0.395,1,0,0,1,1758.2524999999998,0.0496737485383239,263130.6994197696,0.0,0.8505954846741052,Medium,"(0.35, 2.5]",High,Behavioral Risk
3,136052,888823.32,72,7.72,15462.72,Business,Branch,40,Male,Married,2,Bachelors,Employed,Construction,10,Salary,670988.56,56372.74,87,760,0.14,2,0,0,1,0,0.274,1.325,0.317,0,0,1,0,15559.747142857144,0.2760105528364295,319478.0989994619,0.7916666666666666,0.39734013259489015,Very High,"(0.229, 0.35]",Medium,High Exposure
4,147736,514441.22,60,6.74,10123.57,Medical,Agent,42,Male,Single,0,Bachelors,Employed,Finance,16,Salary,861373.57,70752.49,97,823,0.25,4,1,0,0,18,0.143,0.597,0.156,1,0,0,0,3289.425833333333,0.0464913579999139,458332.95054569625,0.0,0.6462003209512898,Medium,"(0.152, 0.229]",Medium,Low Risk
5,156914,718115.29,36,6.61,22045.49,Car,Agent,32,Female,Married,1,High School,Self-Employed,Finance,1,Business,900716.69,74973.53,76,811,0.35,2,0,0,0,0,0.294,0.797,0.312,0,0,0,0,23751.291739130436,0.3167914722390448,360240.0919081168,0.75,0.23123320300552502,High,"(0.229, 0.35]",Low,Low Risk
6,34959,770737.77,36,14.4,26491.97,Education,Agent,42,Female,Married,1,Bachelors,Employed,Services,6,Salary,1891692.83,160850.0,73,554,0.55,2,1,0,1,87,0.165,0.407,0.205,1,0,0,1,50085.13666666667,0.3113759732091605,875960.2695423557,0.7916666666666666,0.35924005257260944,High,"(0.152, 0.229]",Medium,Credit Risk
7,102807,421868.66,24,11.8,19819.44,Personal,Online,43,Male,Single,0,High School,Employed,Healthcare,18,Salary,809258.37,65861.72,100,574,0.18,0,0,0,2,0,0.301,0.521,0.371,1,0,0,0,2657.805,0.0403537084408296,439796.7920791249,0.0,0.6871343995858221,Medium,"(0.35, 2.5]",High,Credit Risk
8,108248,1511751.8,240,11.53,16153.03,Business,Online,44,Female,Divorced,0,PhD,Employed,IT,21,Salary,992834.24,82572.05,100,608,0.45,2,0,1,2,0,0.196,1.523,0.267,0,0,1,0,3958.1090909090913,0.0479346359485218,539416.8920539398,0.0,0.6582210415423227,Very High,"(0.229, 0.35]",High,High Exposure
9,160360,152088.62,240,16.5,2173.2,Car,Agent,35,Female,Married,2,High School,Unemployed,Unemployed,0,No Income,220114.25,17741.44,59,486,0.19,2,1,2,1,89,0.122,0.691,0.245,1,1,0,1,885.2514285714286,0.0498945707902311,122178.43836402376,0.0,0.7340246667397712,Low,"(0.229, 0.35]",High,Credit Risk
10,3408,799062.61,120,10.91,10966.42,Home,Online,39,Male,Single,1,Bachelors,Self-Employed,Manufacturing,7,Business,1478484.71,125715.73,73,669,0.16,2,1,0,2,46,0.087,0.54,0.127,1,0,0,1,30604.168695652173,0.2434375177882225,686775.1199110392,0.875,0.3313223310748713,High,"(0.013999999999999999, 0.152]",Medium,Low Risk
